txId,class,tx_out_degree,tx_in_degree,output_address_count,unique_output_address_count,total_tx_degree,tx_in_degree_robust,tx_out_degree_robust,output_address_count_robust,unique_output_address_count_robust,total_tx_degree_robust,graph_anomaly_score,isolation_anomaly_score,risk_score,explanation
47521535,2,9.0,48.0,95.0,95.0,57.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,99.14129049670353,99.61358072351659,high in-degree (48); high out-degree (9); many outputs (95); many unique outputs (95)
38688623,2,15.0,98.0,48.0,48.0,113.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,99.08777532192265,99.58949889486519,high in-degree (98); high out-degree (15); many outputs (48); many unique outputs (48)
19170155,2,12.0,96.0,51.0,51.0,108.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,98.82047083693688,99.46921187662159,high in-degree (96); high out-degree (12); many outputs (51); many unique outputs (51)
91934616,2,15.0,94.0,43.0,43.0,109.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,98.76706417489609,99.44517887870325,high in-degree (94); high out-degree (15); many outputs (43); many unique outputs (43)
111575373,2,8.0,98.0,59.0,59.0,106.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,98.6069525486524,99.37312864689358,high in-degree (98); high out-degree (8); many outputs (59); many unique outputs (59)
12172125,2,9.0,94.0,54.0,54.0,103.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,98.12759148055878,99.15741616625145,high in-degree (94); high out-degree (9); many outputs (54); many unique outputs (54)
19670253,2,8.0,91.0,52.0,52.0,99.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,98.07441917522038,99.13348862884916,high in-degree (91); high out-degree (8); many outputs (52); many unique outputs (52)
6244017,2,10.0,58.0,53.0,53.0,68.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,97.96812851281506,99.08565783076678,high in-degree (58); high out-degree (10); many outputs (53); many unique outputs (53)
36364435,2,11.0,97.0,37.0,37.0,108.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,97.86190974089453,99.03785938340255,high in-degree (97); high out-degree (11); many outputs (37); many unique outputs (37)
14950377,2,6.0,97.0,66.0,66.0,103.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,97.75576281083511,98.99009326487581,high in-degree (97); high out-degree (6); many outputs (66); many unique outputs (66)
53063584,2,6.0,86.0,60.0,60.0,92.0,1.0,1.0,1.0,1.0,1.0,99.99999999999999,97.64968767404608,98.94235945332073,high in-degree (86); high out-degree (6); many outputs (60); many unique outputs (60)
